observation,series,Time (h),Conc (nM),time,measurement
concentration,sim15mgkg,0.576002579,2313.508373,70.00006575,2313.508373
concentration,sim15mgkg,9.836065574,2032.097373,70.00112284,2032.097373
concentration,sim15mgkg,19.67213115,1764.853665,70.00224568,1764.853665
concentration,sim15mgkg,26.2295082,1644.906572,70.00299424,1644.906572
concentration,sim15mgkg,31.20272315,1523.46899,70.00356195,1523.46899
concentration,sim15mgkg,40.73745691,1365.932002,70.00465039,1365.932002
concentration,sim15mgkg,50.27219067,1246.778541,70.00573883,1246.778541
concentration,sim15mgkg,59.80692443,1144.821603,70.00682727,1144.821603
concentration,sim15mgkg,69.34165819,1064.713063,70.00791571,1064.713063
concentration,sim15mgkg,78.87639195,996.9775052,70.00900415,996.9775052
concentration,sim15mgkg,88.41112572,939.9313746,70.01009259,939.9313746
concentration,sim15mgkg,97.68582128,895.766411,70.01115135,895.766411
concentration,sim15mgkg,107.4805932,851.9654829,70.01226947,851.9654829
concentration,sim15mgkg,117.015327,814.2332013,70.01335791,814.2332013
concentration,sim15mgkg,126.0685086,784.5760741,70.01439138,784.5760741
concentration,sim15mgkg,136.0847945,751.9850191,70.01553479,751.9850191
concentration,sim15mgkg,146.1010805,724.4390045,70.01667821,724.4390045
concentration,sim15mgkg,155.154262,701.6274723,70.01771167,701.6274723
concentration,sim15mgkg,164.6889958,676.862817,70.01880011,676.862817
concentration,sim15mgkg,174.2237296,654.642177,70.01988855,654.642177
concentration,sim15mgkg,183.7584633,635.3109091,70.02097699,635.3109091
concentration,sim15mgkg,193.0331589,617.7476046,70.02203575,617.7476046
concentration,sim15mgkg,202.8279309,594.7887078,70.02315387,594.7887078
concentration,sim15mgkg,212.3626646,579.687321,70.02424231,579.687321
concentration,sim15mgkg,221.8973984,559.7029866,70.02533075,559.7029866
concentration,sim15mgkg,230.757959,546.2925815,70.02634223,546.2925815
concentration,sim15mgkg,240.9668659,527.1355247,70.02750763,527.1355247
concentration,sim15mgkg,246.6010268,519.9897081,70.0281508,519.9897081
concentration,sim15mgkg,272.1714491,71.32264188,70.0310698,71.32264188
concentration,sim15mgkg,471.5340641,254.452981,70.05382809,254.452981
concentration,sim15mgkg,490.9502492,240.9145362,70.05604455,240.9145362
